"PERMITNO"|"FCLTUIN"|"FCLNAME"|"FCLTYAD"|"FCLTCIT"|"FCLTCTC"|"FCLSTCD"|"FCLZIPC"|"FCLGLAT"|"FCLGLON"|"IMPCAT"
"TX0096920"|"110009775207"|"HARRIS COUNTY MUD 286 WWTF"|"4500FT W FM 249 CYPRESS CK"|"HOUSTON"|"1380948"|"TX"|"77056"|29.936972|-95.583917|"4"
"TX0096954"|"110009775216"|"HOUSTON EAST RV RESORT WWTP"|"1.4M E INTX STHWY 146 AND IH 10"|"BAYTOWN"|"1383821"|"TX"|"77520"|29.816694|-94.875028|""
"TX0096962"|"110039198347"|"NORTHGATE CROSSING"|"4500 FT SE IH 45"|"SPRING"|"1380948"|"TX"|""|30.116667|-95.424722|""
"TX0096989"|"110039168272"|"UNKNOWN"|"UNKNOWN"|""|"1380948"|"TX"|""|29.6|-95.683056|""
"TX0097012"|"110039171311"|"UNKNOWN"|"UNKNOWN"|""|"1330268"|"TX"|""|""|""|""
"TX0097047"|"110009775234"|"RANKIN ROAD WEST MUD WWTP"|"3100' N SPEARS RD,5300' NE INT"|"HOUSTON"|"1380948"|"TX"|"77002"|29.973056|-95.446944|""
"TX0097055"|"110018919946"|"ALUMAX MILL PRODUCTS PLANT"|"SW OF INTX US IH 30 & FM 989"|"NASH"|"1369752"|"TX"|"75501"|33.453056|-94.136667|""
"TX0097063"|"110009775252"|"LAKE OAKS LANDING WWTP"|"4MI S & 1600' E INTX ST HWY 156 AND US HWY 190"|"POINT BLANK"|"1383989"|"TX"|"77364"|30.708056|-95.183056|""
"TX0097071"|"110009747444"|"HARRIS COUNTY MUD 278 WWTP"|"4621 WILL CLAYTON PARKWAY"|"HUMBLE"|"1380948"|"TX"|"77346"|29.974722|-95.183056|""
"TX0097098"|"110039171348"|"HARSCO CORPORATION"|"1514 S SHELDON ROAD"|"CHANNELVIEW"|"1373053"|"TX"|"77530"|29.750028|-95.125028|""
"TX0097136"|"110039198365"|"CREEKSIDE MHP"|"4000 ACE LN"|"LEWISVILLE"|"1383847"|"TX"|""|32.996944|-96.996944|""
"TX0097144"|"110039171384"|"HARRIS COUNTY MUD 294"|"1800 FT. E. & 6300 FT. N. OF"|"HOUSTON"|"1383886"|"TX"|"77089"|29.494444|-95.208056|""
"TX0097187"|"110039171419"|"UNKNOWN"|"UNKNOWN"|""|"1383864"|"TX"|""|""|""|""
"TX0097209"|"110033635127"|"CYPRESSWOOD MHP WWTP"|"20810 CYPRESSWOOD DRIVE"|"HOUSTON"|"1380948"|"TX"|"77219"|30.015556|-95.328611|"4"
"TX0097217"|"110039169226"|"UNKNOWN"|"UNKNOWN"|""|"1352845"|"TX"|""|29.2975|-95.758333|""
"TX0097225"|"110010921967"|"HARRIS COUNTY MUD 304 WWTP"|"2M SE STUEBNER-AIRLINE RD AND FM HWY 1960"|"HOUSTON"|"1380948"|"TX"|"77056"|29.974444|-95.4525|""
"TX0097233"|"110006683730"|"HARMONY ISD WWTP"|"3.9MI W INTX STHWY 154 & FM 17"|"GILMER"|"1330639"|"TX"|"75644"|32.753889|-95.108056|""
"TX0097268"|"110039171464"|"UNKNOWN"|"UNKNOWN"|""|"1345420"|"TX"|""|""|""|""
"TX0097276"|"110010921976"|"GREENS RD SERVICE CENTER WWTP"|"2421 GREENS ROAD"|"HOUSTON"|"1380948"|"TX"|"77036"|29.95|-95.352222|""
"TX0097292"|"110009775270"|"TREASURE COVE WWTP"|"2200' SW SMITH RD AND KIDD RD"|"BEAUMONT"|"1330268"|"TX"|"77707"|29.991944|-94.219167|""
"TX0097373"|"110009747453"|"ROLLING CREEK UD - WWTP"|"2200' N OF CLAY RD AND 3500' E"|"HOUSTON"|"1380948"|"TX"|"77002"|29.835833|-95.682222|""
"TX0097403"|"110009775289"|"CHASE HOLLOW WWTP"|"0.5MI NW INTX ST HWY 87 AND FM 3247"|"ORANGE"|"1375304"|"TX"|"77632"|30.152222|-93.754444|""
"TX0097497"|"110039198383"|"MCFARLAND WWTF"|"HARRISON COUNTY"|"MARSHALL"|"1340990"|"TX"|""|32.4725|-94.4075|""
